AL_Code,VENDOR,AL_Name
401,287,AMERICA WEST AIRLINES
1,122,AMERICAN AIRLINES
18,286,ANTINEA AIRLINES
275,1436,APG AIRLINES
238,312,ARKIA
669,560,ARMAVIA
270,397,ARMENIAN INTL AIRWAYS
717,493,ASERCA
988,437,ASIANA AIRLINES
433,660,ASTAIR
366,558,ATA AIRLINES INC
767,498,ATLANTIC AIRWAYS
432,541,ATLANTIS EUROPEAN AIRWAY
610,345,ATLASJET INTL AIRWAYS
312,307,ATYRAU AUE JOLY
614,308,AUGSBURG AIRWAYS
924,270,AURIGNY AIR SERVICES
143,137,AUSTRAL LINEAS AEREAS
257,432,AUSTRIAN
95,56,AVIACSA
134,138,AVIANCA
728,377,AVIOIMPEX
975,489,AWAIR INTERNATIONAL
771,314,AZERBAIJAN AIRLINES
111,571,BAHAMASAIR
829,448,BANGKOK AIRWAYS
940,584,BASHKIRIAN AIRLINES
632,332,BEARSKIN AIRLINES
628,142,BELAVIA
208,143,BELLVIEW AIRLINES
719,120,BENIN GOLF AIR
801,317,BERJAYA AIR
997,152,BIMAN BANGLADESH AIRLINE
474,416,BINTER CANARIAS
541,55,BISMILAH AIRLINES
4,163,BLUE PANORAMA AIRLINES
142,341,BLUE1
436,344,BMED
236,150,BMI
493,103,BONAIR EXEL
154,162,BRAATHENS
750,198,BRIT AIR
951,57,BRITANNIA AIRWAYS
125,149,BRITISH AIRWAYS
623,244,BULGARIA AIR
928,578,BURAQ AIR TRANSPORT
106,164,BWIA WEST INDIES AIRWAYS
622,392,CALM AIR INTERNATIONAL
418,495,CAMAI AIR
604,577,CAMEROON AIRLINES
306,105,CAPE AIR
557,87,CARIBBEAN STAR AIRLINES
21,581,CARPATAIR
879,506,CASPIAN AIRLINES
160,189,CATHAY PACIFIC
378,353,CAYMAN AIRWAYS
146,630,CCM AIRLINES
203,47,CEBU AIR
634,107,CENTRAL MOUNTAIN AIR
370,431,CHALK OCEAN AIRWAYS
363,503,CHAUTAUQUA AIRLINES
297,179,CHINA AIRLINES
781,396,CHINA EASTERN AIRLINES
784,191,CHINA SOUTHERN AIRLINES
647,474,CIMBER AIR
251,170,CIRRUS AIRLINES
419,176,CITY AIRLINE
689,621,CITYJET
645,65,CLUBAIR
982,165,COAST AIR
161,391,COMAIR
881,199,CONDOR
5,184,CONTINENTAL AIRLINES
596,186,CONTINENTAL MICRONESIA
308,579,CONVIASA
230,182,COPA AIR
923,527,CORSAIR INTERNATIONAL
447,241,COSMIC AIR
831,433,CROATIA AIRLINES
136,187,CUBANA DE AVIACION
48,190,CYPRUS AIRWAYS
56,644,CYPRUS TURKISH AIRLINES
64,426,CZECH AIRLINES CSA
991,193,DAALLO AIRLINES
560,279,DALAVIA
6,204,DELTA AIR LINES
490,21,DENIM AIR
181,658,DNIEPROAVIA
497,213,DOMODEDOVO AIRLINES
43,337,DRAGONAIR
241,335,DUTCH CARIBBEAN AIRLINE
398,649,EAGLE CANYON AIRLINES
581,485,EAST AFRICAN AIRLINES
305,144,EAST AFRICAN SAFARI AIR
467,533,EASTERN AIRWAYS
77,395,EGYPTAIR
114,376,EL AL ISRAEL AIRLINES
176,228,EMIRATES
637,147,ERITREAN AIRLINES
960,434,ESTONIAN AIR
71,235,ETHIOPIAN AIRLINES
607,240,ETIHAD AIRWAYS
736,265,EUROFLY SPA
482,33,EUROMANX
24,220,EUROPEAN AIR EXPRESS
104,238,EUROWINGS
695,160,EVA AIR
759,303,FALCON AIR
265,225,FAR EASTERN AIR TRANSPOR
105,140,FINNAIR
245,73,FIRST AIR
267,151,FLYBE
593,1430,FLYNAS
422,243,FRONTIER AIRLINES
34,260,GAMBIA INTL AIRLINES
126,259,GARUDA INDONESIA
171,271,GB AIRWAYS
606,121,GEORGIAN AIRWAYS
399,469,GEORGIAN NATIONAL AIR
9,657,GMG AIRLINES
127,255,GOL TRANSPORTES AEREOS
846,668,GREAT LAKES AVIATION
72,262,GULF AIR
449,26,GULFSTREAM INTERNATIONAL
169,289,HAHN AIR
880,291,HAINAN AIRLINES
617,282,HAPAG LLOYD
458,277,HARBOUR AIR SEAPLANES
668,288,HARMONY AIRWAYS
173,281,HAWAIIAN AIRLINES
993,153,HAWKAIR
747,647,HELI AIR MONACO
284,222,HELI INTER RIVIERA
613,319,HELIJET INTERNATIONAL
681,284,HELLENIC STAR AIRWAYS
748,210,HEMUS AIR
663,232,HEWA BORA AIRWAYS
848,564,HEX AIR
481,487,HORIZON AIR
75,297,IBERIA
108,247,ICELANDAIR
166,305,IMAIR AIRLINE
480,201,INDEPENDENCE AIR
58,298,INDIAN AIRLINES
625,194,INTER AIR
431,299,INTERLINK AIRLINES
576,25,INTERSKY LUFTFAHRT
96,309,IRAN AIR
90,310,IRTYSH AVIA
347,615,ISLAND AIR
769,301,ISLAS AIRWAYS
818,61,ISRAIR AIRLINES
420,264,ITEK AIR
88,636,IVOIRE AIRWAYS
708,326,JALWAYS
131,324,JAPAN AIRLINES INTL
688,226,JAPAN ASIA AIRWAYS
353,417,JAPAN TRANSOCEAN AIR
115,331,JAT AIRWAYS
589,113,JET AIRWAYS
279,145,JETBLUE
348,352,KAVMINVODYAVIA AIRLINES
763,378,KENMORE AIR
706,349,KENYA AIRWAYS
74,346,KLM ROYAL DUTCH AIRLINES
180,340,KOREAN AIR
499,71,KRAS AIR
229,351,KUWAIT AIRWAYS
510,320,LAB FLYING SERVICE
133,370,LACSA
504,402,LAGUN AIR
68,548,LAM MOZAMBIQUE
45,357,LAN AIRLINES
462,631,LANECUADOR AEROLANE SA
544,368,LANPERU
627,486,LAO AIRLINES
231,408,LAUDA AIR
140,362,LIAT
148,366,LIBYAN ARAB AIRLINES
874,542,LITHUANIAN AIRLINES
857,365,LIVINGSTON
51,358,LLOYD AERO BOLIVIANO
80,367,LOT POLISH AIRLINES
266,371,LTU INTL AIRWAYS
220,361,LUFTHANSA
683,181,LUFTHANSA CITYLINE
149,360,LUXAIR
62,54,LVIV AIRLINES
374,173,MACAIR AIRLINES
367,306,MACEDONIAN AIRLINES
537,601,MAHAN AIRLINES
232,385,MALAYSIA AIRLINES
182,380,MALEV HUNGARIAN AIRLINES
276,543,MALMO AVIATION
803,126,MANDARIN AIRLINES
129,393,MARTINAIR
191,302,MERIDIANA
533,653,MESA AIRLINES
132,398,MEXICANA
289,428,MIAT MONGOLIAN AIRLINES
76,383,MIDDLE EAST AIRLINES
453,655,MIDWEST AIRLINES
860,11,MOLDAVIAN AIRLINES
974,661,MONARCH AIRLINES
409,645,MONTENEGRO AIRLINES
11,379,MOTOR-SICH JSC
469,39,MUNDOLAN
599,90,MYANMAR AIRWAYS INTL
567,175,NATIONWIDE AIR
477,1426,NESMA AIRLINES
179,333,NICE HELICOPTERES
325,1342,NILE AIR
264,321,NORDESTE LINHAS AEREAS
455,404,NORTH AMERICAN AIRLINES
12,418,NORTHWEST AIRLINES
328,212,NORWEGIAN AIR SHUTTLE
819,401,NUEVO CONTINENTE
654,48,ODESSA AIRLINES
704,427,OLT OSTFRIESISCHE LUFTTR
50,422,OLYMPIC AIRLINES
910,622,OMAN AIR
291,490,ORENBURG AIRLINES
550,156,PACIFIC AIRLINES
905,92,PACIFIC COASTAL AIRLINES
568,374,PACIFIC WINGS
214,452,PAKISTAN INTERNATIONAL
400,447,PALESTINIAN AIRLINES
543,108,PB AIR
339,350,PENAIR
188,442,PERM AIRLINES
79,454,PHILIPPINE AIRLINES
286,456,PLUNA
31,457,PRECISION AIR
967,443,PROVINCIAL AIRLINES
195,254,PULKOVO AVIATION ENTERPR
460,221,PULLMANTUR AIR
81,471,QANTAS AIRWAYS
157,482,QATAR AIRWAYS
977,650,REGIONAL
259,251,REGIONAL AIR LINES
899,669,REGIONAL EXPRESS
310,20,REGIONSAIR
534,616,ROMAVIA
147,136,ROYAL AIR MAROC
672,154,ROYAL BRUNEI
512,501,ROYAL JORDANIAN
285,496,ROYAL NEPAL AIRLINES
141,662,ROYAL SWAZI AIRWAYS
440,617,ROYAL TONGAN AIRLINES
459,603,RWANDAIR EXPRESS
705,508,SAHARA AIRLINES
906,215,SAMARA AIRLINES
249,509,SANTA BARBARA AIRLINES
598,294,SAT AIRLINES
737,525,SATA AIR ACORES
331,510,SATA INTERNATIONAL
65,529,SAUDI ARABIAN AIRLINES
271,602,SAYAKHAT AIRLINES
117,521,SCANDINAVIAN AIRLINES
969,172,SCOTAIRWAYS
103,192,SEVERSTAL AIRCOMPANY
324,516,SHANDONG AIRLINES
774,250,SHANGHAI AIRLINES
479,666,SHENZHEN AIRLINES
919,511,SHUTTLE AMERICA
842,50,SIBAVIATRANS
421,512,SIBERIA AIRLINES
876,31,SICHUAN AIRLINES
84,252,SIEM REAP AIRWAYS INTL
629,386,SILKAIR
618,526,SINGAPORE AIRLINES
605,276,SKY AIRLINE
884,45,SKYSERVICE AIRLINES
752,334,SKYWAYS AB
302,430,SKYWEST AIRLINES
608,634,SKYWEST AIRLINES
797,483,SMART WINGS
82,524,SN BRUSSELS AIRLINES
334,390,SOC AERO DE MEDELLIN
193,300,SOLOMON AIRLINES
83,514,SOUTH AFRICAN AIRWAYS
702,116,SOUTHERN WINDS
680,323,SPANAIR
487,411,SPIRIT AIRLINES
603,568,SRILANKAN AIRLINES
473,518,STAR AIRLINES
373,405,STERLING
200,517,SUDAN AIRWAYS
337,531,SUN COUNTRY
564,633,SUN EXPRESS
192,459,SURINAM AIRWAYS
213,463,SWAZI EXPRESS AIRWAYS
724,375,SWISS
118,209,TAAG
202,539,TACA INTL AIRLINES
696,594,TACV CABO VERDE AIRLINES
502,76,TAJIKISTAN AIRLINES
957,322,TAM LINHAS AEREAS
692,460,TAM MERCOSUR
269,234,TAME
47,551,TAP AIR PORTUGAL
281,502,TAROM
966,561,TATARSTAN AIR
204,536,TAVREY AIRCOMPANY
434,356,TBILAVIAMSHENI
25,505,TCI SKYKING LTD
217,544,THAI AIRWAYS INTL
371,100,TOUMAI AIR TCHAD
223,466,TRANS AIR CONGO
465,339,TRANS ATLANTIC AIRLINES
670,570,TRANSAERO AIRLINES
170,261,TRANSASIA AIRWAYS
979,292,TRANSAVIA AIRLINES
150,567,TUNINTER
199,555,TUNISAIR
359,30,TURAN AIR
235,546,TURKISH AIRLINES
542,535,TURKMENISTAN AIRLINES
294,537,TWIN JET
734,592,TYROLEAN AIRWAYS
770,565,UAIR
566,455,UKRAINE INTL AIRLINES
828,566,UM AIR
525,146,UNI AIRWAYS
16,562,UNITED AIRLINES
751,575,UNIVERSAL AIRLINES
262,559,URAL AIRLINES
37,572,US AIRWAYS
250,293,UZBEKISTAN AIRWAYS
42,500,VARIG
194,590,VIAGGIO AIR
738,591,VIETNAM AIRLINES
823,414,VIM AIRLINES
932,595,VIRGIN ATLANTIC
277,628,VLADIVOSTOK AIR
978,587,VLM AIRLINES
795,585,VOLARE AIRLINES
30,1544,VUELING AIRLINES
227,17,WELCOME AIR
309,623,WEST AFRICAN AIRLINES
222,91,WEST COAST AIR
701,607,WIDEROE
295,612,WINDWARD ISLAND AIRWAYS
635,311,YEMENIA YEMEN AIRWAYS
121,12,YUZMASHAVIA
391,462,ZAMBIAN AIRWAYS
